annot_transcript_id	k562_1_chr20	k562_2_chr20
ENST00000356091.10	0	0
ENST00000527081.1	0	0
ENST00000477931.5	11	12
ENST00000480975.5	5	4
ENST00000371095.7	8	8
ENST00000371085.7	3	1
ENST00000354359.11	0	0
ENST00000265620.11	6	6
ENST00000487862.5	1	3
ENST00000496934.5	0	0
ENST00000476196.5	3	3
ENST00000475610.1	2	1
ENST00000602795.5	154	87
ENST00000460601.5	1	0
ENST00000217131.5	0	0
ENST00000503833.6	1	0
ENST00000243997.7	836	281
ENST00000395663.1	1	0
ENST00000355937.8	100	60
ENST00000371033.9	5	2
ENST00000463057.1	1	3
ENST00000360816.7	13	10
ENST00000469084.5	0	1
ENST00000370996.4	4	0
ENST00000370873.8	555	256
ENST00000484488.5	7	2
ENST00000486193.1	293	200
ENST00000370858.3	1	0
ENST00000370823.7	10	8
ENST00000488748.1	0	0
ENST00000313733.8	12	4
ENST00000358053.3	0	0
ENST00000644775.1	0	0
ENST00000618198.4	0	0
ENST00000620230.4	8	6
ENST00000253003.6	200	136
ENST00000495695.1	0	0
ENST00000610979.1	4	1
ENST00000343986.8	1276	319
ENST00000492356.2	43	14
ENST00000450116.6	19	9
ENST00000616512.1	0	0
ENST00000217159.5	9	8
ENST00000370507.5	1	2
ENST00000451793.1	0	0
ENST00000451648.1	0	0
ENST00000411824.1	0	0
ENST00000370487.4	8	25
ENST00000290291.10	6	21
ENST00000370461.5	0	0
ENST00000649368.1	0	0
ENST00000466192.5	0	0
ENST00000467819.5	0	0
ENST00000466532.1	0	0
ENST00000370371.8	4	3
ENST00000370368.5	0	0
ENST00000354665.8	9	6
ENST00000266069.4	33	26
ENST00000370351.8	0	0
ENST00000370349.7	0	0
ENST00000483113.1	0	0
ENST00000370339.7	1	0
ENST00000615354.1	0	2
ENST00000342412.10	0	0
ENST00000217169.7	0	0
ENST00000370283.8	20	9
ENST00000549047.5	0	0
ENST00000519531.5	0	0
ENST00000518794.6	0	0
ENST00000370179.7	0	2
ENST00000370082.1	0	0
ENST00000370069.5	0	0
ENST00000266068.5	0	0
ENST00000370077.1	0	2
ENST00000449500.1	2	1
ENST00000411579.1	0	0
ENST00000370053.2	6	17
ENST00000370018.7	0	0
ENST00000360203.10	0	0
ENST00000369996.2	0	0
ENST00000612256.4	5	3
ENST00000619493.4	0	1
ENST00000622789.4	14	12
ENST00000610414.4	0	0
ENST00000618838.4	3	4
ENST00000612157.4	3	1
ENST00000618568.4	2	4
ENST00000607873.1	1	1
ENST00000448100.6	1	0
ENST00000355969.10	8	9
ENST00000357119.8	0	0
ENST00000369967.7	1	3
ENST00000328969.5	0	0
ENST00000487026.5	0	0
